title,table,start,end
Realtime Data - All Africa Jan 2015,ym201501,1/1/2015,1/31/2015
Realtime Data - All Africa Feb 2015,ym201502,2/1/2015,2/28/2015
Realtime Data - All Africa Mar 2015,ym201503,3/1/2015,3/31/2015
Realtime Data - All Africa Apr 2015,ym201504,4/1/2015,4/30/2015
Realtime Data - All Africa May 2015,ym201505,5/1/2015,5/31/2015
Realtime Data - All Africa Jun 2015,ym201506,6/1/2015,6/30/2015
Realtime Data - All Africa Jul 2015,ym201507,7/1/2015,7/31/2015
Realtime Data - All Africa Aug 2015,ym201508,8/1/2015,8/31/2015
Realtime Data - All Africa Sep 2015,ym201509,9/1/2015,9/30/2015
Realtime Data - All Africa Oct 2015,ym201510,10/1/2015,10/31/2015
Realtime Data - All Africa Nov 2015,ym201511,11/1/2015,11/30/2015
Realtime Data - All Africa Dec 2015,ym201512,12/1/2015,12/31/2015
